Index Name,Date,Open,High,Low,Close
NIFTY 50,2024-11-06,25030.95,25078.3,24956.4,25010.9
NIFTY 50,2024-11-07,24789,24851.9,24686.85,24717.7
NIFTY 50,2024-11-08,24302.85,24350.05,23893.7,24055.6
NIFTY 50,2024-11-09,24189.85,24382.6,23960.4,23992.55
NIFTY 50,2024-11-10,24289.4,24337.7,24184.9,24297.5
NIFTY 50,2024-11-11,24248.55,24340.5,24079.7,24117
NIFTY 50,2024-11-12,24386.85,24419.75,24311.2,24367.5
NIFTY 50,2024-11-13,24320.05,24472.8,24212.1,24347
NIFTY 50,2024-11-14,24342.35,24359.95,24116.5,24139
NIFTY 50,2024-11-15,24184.4,24196.5,24099.7,24143.75
NIFTY 50,2024-11-16,24334.85,24563.9,24204.5,24541.15
NIFTY 50,2024-11-17,24636.35,24638.8,24522.95,24572.65
NIFTY 50,2024-11-18,24648.9,24734.3,24607.2,24698.85
NIFTY 50,2024-11-19,24680.55,24787.95,24654.5,24770.2
NIFTY 50,2024-11-20,24863.4,24867.35,24784.45,24811.5
NIFTY 50,2024-11-21,24845.4,24858.4,24771.65,24823.15
NIFTY 50,2024-11-22,24906.1,25043.8,24874.7,25010.6
NIFTY 50,2024-11-23,25024.8,25073.1,24973.65,25017.75
NIFTY 50,2024-11-24,25030.8,25129.6,24964.65,25052.35
NIFTY 50,2024-11-25,25035.3,25192.9,24998.5,25151.95
NIFTY 50,2024-11-26,25249.7,25268.35,25199.4,25235.9
NIFTY 50,2024-11-27,25333.6,25333.65,25235.5,25278.7
NIFTY 50,2024-11-28,25313.4,25321.7,25235.8,25279.85
NIFTY 50,2024-11-29,25089.95,25216,25083.8,25198.7
NIFTY 50,2024-11-30,25250.5,25275.45,25127.75,25145.1
NIFTY 50,2024-12-01,25093.7,25168.75,24801.3,24852.15
NIFTY 50,2024-12-02,24823.4,24957.5,24753.15,24936.4
NIFTY 50,2024-12-03,24999.4,25130.5,24896.8,25041.1
NIFTY 50,2024-12-04,25034,25113.7,24885.15,24918.45
NIFTY 50,2024-12-05,25059.65,25433.35,24941.45,25388.9
